Row Number,Company,Position Name,Location,Status,Job Description,Application Link,Number of Applicants,Industry,Salary
343,Charter Wire,BI&A Intern (Year-Round),"Milwaukee, WI",Actively Hiring,"Charter Manufacturing is a fourth-generation family-owned business where our will to grow drives us to do it better. Join the team and become part of our family!

Charter Wire has an exciting opportunity for a BI&A Intern!

Emerge in Charter’s culture while taking ownership of and that directly tie to the success of our business.

At Charter Manufacturing we believe our culture is our strongest competitive advantage.



Duration/Schedule: Flexible part-time during the school year and full-time during the summer months

Hybrid Flexibility: at least 2 days in the office

Start Date: Fall 2023




Show more",https://www.linkedin.com/jobs/view/bi-a-intern-year-round-at-charter-wire-3721957757?refId=gW%2F86AVX%2BmKWCTJ%2Fqkdcyw%3D%3D&trackingId=DXgHXAP7nZ57ayC3W1Ws3w%3D%3D&position=23&pageNum=13&trk=public_jobs_jserp-result_search-card,26,"Industries
Fabricated Metal Products",0
344,Bosch USA,Wireless AI Intern,"Sunnyvale, CA",6 months ago,INVALID LINK,https://www.linkedin.com/jobs/view/wireless-ai-intern-at-bosch-usa-3581298140?refId=gW%2F86AVX%2BmKWCTJ%2Fqkdcyw%3D%3D&trackingId=gWc6uHElFwVdOGGV9m%2FwqA%3D%3D&position=24&pageNum=13&trk=public_jobs_jserp-result_search-card,,,0
345,POET,Engineering Intern,"Sioux Falls, SD",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/engineering-intern-at-poet-3712173926?refId=gW%2F86AVX%2BmKWCTJ%2Fqkdcyw%3D%3D&trackingId=T%2FqfKN%2FPBKa%2Bt812DboMcA%3D%3D&position=25&pageNum=13&trk=public_jobs_jserp-result_search-card,,,0
346,ITW Hartness,Manufacturing Engineer Intern,"Greenville, SC",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/manufacturing-engineer-intern-at-itw-hartness-3716035139?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=e%2BnfbkUzNm8SSsPcByfOTA%3D%3D&position=1&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
347,Perpay Inc.,"Data Engineering Internship, 2024","Philadelphia, PA",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/data-engineering-internship-2024-at-perpay-inc-3719128247?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=jTBskLEU%2BDRt2sKzSmyI%2Fg%3D%3D&position=2&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
348,Elevance Health,"Data Analyst Internship - Summer 2024, Graduate","Chicago, IL",Actively Hiring,"Description

A Data Analyst Intern will be responsible for supporting the company’s Carelon Digital Platforms team. During the program our Interns will receive an orientation to the company and engage in challenging projects evolving around the rapidly changing healthcare tech industry. Interns are paired with industry professionals and mentors and will be given opportunities to stretch their skills and enrich their knowledge base to achieve a greater understanding within technology.






Students will be assigned to a specific group within the Carelon Digital Platforms organization based on skill set and need of the business. Graduate students should have experience and education in:


Please be advised that Elevance Health only accepts resumes from agencies that have a signed agreement with Elevance Health. Accordingly, Elevance Health is not obligated to pay referral fees to any agency that is not a party to an agreement with Elevance Health. Thus, any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of Elevance Health.


Elevance Health is a health company dedicated to improving lives and communities – and making healthcare simpler. A Fortune 20 company with a longstanding history in the healthcare industry, we are looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve. You will thrive in a complex and collaborative environment where you take action and ownership to solve problems and lead change. Do you want to be part of a larger purpose and an evolving, high-performance culture that empowers you to make an impact?

We offer a range of market-competitive total rewards that include merit increases, paid holidays, Paid Time Off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few.

Elevance Health operates in a Hybrid Workforce Strategy, providing various levels of flexibility while also ensuring that associates have opportunities to connect in-person. Unless in a designated virtual-eligible role and specified as primarily virtual by the hiring manager, associates are required to work at an Elevance Health location at least once per week, and potentially several times per week. Specific requirements and expectations for time onsite will be discussed as part of the hiring process. Candidates must reside within 50 miles or 1-hour commute each way of a relevant Elevance Health location.

The health of our associates and communities is a top priority for Elevance Health. We require all new candidates in certain patient/member-facing roles to become vaccinated against COVID-19. If you are not vaccinated, your offer will be rescinded unless you provide – and Elevance Health approves – a valid religious or medical explanation as to why you are not able to get vaccinated that Elevance Health is able to reasonably accommodate. Elevance Health will also follow all relevant federal, state and local laws.

Elevance Health has been named as a Fortune Great Place To Work in 2022, has been ranked for five years running as one of the 2023 World’s Most Admired Companies by Fortune magazine, and is a growing Top 20 Fortune 500 Company. To learn more about our company and apply, please visit us at careers.ElevanceHealth.com. Elevance Health is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to age, citizenship status, color, creed, disability, ethnicity, genetic information, gender (including gender identity and gender expression), marital status, national origin, race, religion, sex, sexual orientation, veteran status or any other status or condition protected by applicable federal, state, or local laws. Applicants who require accommodation to participate in the job application process may contact ability@icareerhelp.com for assistance.
Show more",https://www.linkedin.com/jobs/view/data-analyst-internship-summer-2024-graduate-at-elevance-health-3727237001?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=Qo7AjqqbwdGGWUTMoWDwwQ%3D%3D&position=3&pageNum=14&trk=public_jobs_jserp-result_search-card,33,"Industries
Hospitals and Health Care",0
349,University of Pennsylvania,Statistical Intern,"Philadelphia, PA",Actively Hiring,"University Overview

The University of Pennsylvania, the largest private employer in Philadelphia, is a world-renowned leader in education, research, and innovation. This historic, Ivy League school consistently ranks among the top 10 universities in the annual U.S. News & World Report survey. Penn has 12 highly-regarded schools that provide opportunities for undergraduate, graduate and continuing education, all influenced by Penn’s distinctive interdisciplinary approach to scholarship and learning. As an employer Penn has been ranked nationally on many occasions with the most recent award from Forbes who named Penn one of America’s Best Employers By State in 2021.

Penn offers a unique working environment within the city of Philadelphia. The University is situated on a beautiful urban campus, with easy access to a range of educational, cultural, and recreational activities. With its historical significance and landmarks, lively cultural offerings, and wide variety of atmospheres, Philadelphia is the perfect place to call home for work and play.

COVID-19 vaccination is a requirement for all positions at the University of Pennsylvania. New hires are expected to be fully vaccinated before beginning work at the University. For more information about Penn’s vaccine requirements and the use of Penn Open Pass, visit the Penn COVID-19 Response website for the latest information.


Statistical Intern


Temporary Employee - Non-Exempt


Assist with REDCap database development, statistical programming, and data analysis.


Assist with REDCap database development, statistical programming, and data analysis.


Philadelphia, Pennsylvania


School of Nursing


$7.25 - $155.75


Penn adheres to a policy that prohibits discrimination on the basis of race, color, sex, sexual orientation, gender identity, religion, creed, national or ethnic origin, citizenship status, age, disability, veteran status, or any other legally protected class.


Background check may be required after a conditional job offer is made. Consideration of the background check will be tailored to the requirements of the job.
Show more",https://www.linkedin.com/jobs/view/statistical-intern-at-university-of-pennsylvania-3625494873?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=U%2Fg8RRUxC3%2BSSiDbCpKmLg%3D%3D&position=4&pageNum=14&trk=public_jobs_jserp-result_search-card,200,"Industries
Higher Education",7
350,The Walt Disney Company,"Decision Science Product Intern (Media), Spring 2024","Lake Buena Vista, FL",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/decision-science-product-intern-media-spring-2024-at-the-walt-disney-company-3727032736?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=Sx%2FB3iwvusO8qbDpGGINRA%3D%3D&position=5&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
351,Elevance Health,"Data Analyst Internship - Summer 2024, Graduate","Atlanta, GA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/data-analyst-internship-summer-2024-graduate-at-elevance-health-3727237000?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=WQjsPR70iMu2N9qoL2qEAA%3D%3D&position=6&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
352,Elevance Health,"Data Analyst Internship - Summer 2024, Graduate","Chicago, IL",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/data-analyst-internship-summer-2024-graduate-at-elevance-health-3727234342?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=mBAQMNm6ak21OYCotZylpg%3D%3D&position=7&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
353,C&S Wholesale Grocers,Data Analytics Intern - Summer 2024,"Keene, NH",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/data-analytics-intern-summer-2024-at-c-s-wholesale-grocers-3727987048?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=7W8hejUKsK%2BNYfJ4IoVj5w%3D%3D&position=8&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
354,Sammons Financial Group Companies,Business Intelligence Analyst Intern - Summer 2024,"Chicago, IL",2 weeks ago,"Title: Business Intelligence Analyst Intern - Summer 2024

Location: Des Moines, IA or Chicago, IL

Job Summary: Support the Life Data Strategy initiative that involves transitioning to and maximizing the use of platforms including: PowerBI Cloud, Snowflake and Salesforce. Assist the Product Owner and members of the Life Business Intelligence and Advanced Analytics team to load/connect to data in Snowflake, present the data in PowerBI/Excel, and provide broad support to the team on tasks including: documentation, testing/validation, production support, and business intelligence (cause-and-effect analysis). Candidates familiar with Data Science concepts would also spend a portion of their time supporting Machine Learning models.





Our Internship program is designed to give students experience with projects and performing tasks within their hired work area. You will be exposed to other areas within the organization by participating in development, culture and volunteer events. This paid internship is 8-10 weeks in length with the possibility of extending hours into the school year.
Show more",https://www.linkedin.com/jobs/view/business-intelligence-analyst-intern-summer-2024-at-sammons-financial-group-companies-3720206708?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=hDbtjzQVcu0ZiAEuHedZ6Q%3D%3D&position=9&pageNum=14&trk=public_jobs_jserp-result_search-card,111,"Industries
Financial Services",0
355,Generac Power Systems,Data Analyst Intern - Start Dec/Jan 2024,"Waukesha, WI",Actively Hiring,"Job Summary: The Data Analytics Intern will support the Operations team with data gathering, cleaning and transformation. Interns will be provided thoughtful opportunities to observe and participate in real-world examples of their in-class studies.
Show more",https://www.linkedin.com/jobs/view/data-analyst-intern-start-dec-jan-2024-at-generac-power-systems-3715849417?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=2BvtulMhhd73WTemW2gC4Q%3D%3D&position=10&pageNum=14&trk=public_jobs_jserp-result_search-card,68,"Industries
Appliances, Electrical, and Electronics Manufacturing",0
356,Elevance Health,"Data Analyst Internship - Summer 2024, Graduate","Chicago, IL",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/data-analyst-internship-summer-2024-graduate-at-elevance-health-3727232506?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=T6q4sGc0t%2BGtA6p%2BBsymJg%3D%3D&position=11&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
357,Ancestry,"Computational Genomics Scientist, Summer Intern","Lehi, UT",1 week ago,INVALID LINK,https://www.linkedin.com/jobs/view/computational-genomics-scientist-summer-intern-at-ancestry-3728188637?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=nvfbCC%2BjKVTKA163DKxZMw%3D%3D&position=12&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
358,Navy Federal Credit Union,Summer Associate Internship (Data Scientist),"Winchester, VA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/summer-associate-internship-data-scientist-at-navy-federal-credit-union-3715325470?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=QKFViDIE97UyGq8wUI7%2Bxw%3D%3D&position=13&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
359,"fairlife, LLC",Research & Development Intern (Summer 2024),"Chicago, IL",1 month ago,INVALID LINK,https://www.linkedin.com/jobs/view/research-development-intern-summer-2024-at-fairlife-llc-3693076226?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=lUjsDCMNUEO%2F%2FeFYoR2Q%2Fw%3D%3D&position=14&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
360,Lockheed Martin,Operations Engineer- Intern,"Fort Worth, TX",Be an early applicant,"Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work. With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility. Your Mission is Ours.

Lockheed Martin Aeronautics is seeking a 2024 Summer Intern - Operations Engineer. In this role, you will analyze and design sequence of operations and workflow to improve efficiencies, establish methods for maximum utilization of production facilities and personnel, and conduct studies pertaining to cost control/reductions. The successful candidate will have experience and/or knowledge of developing production/process plans, using statistical analysis, and gathering/analyzing data for presentations to leadership.





None


By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.

Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.

Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.


At Lockheed Martin, we use our passion for purposeful innovation to help keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.

With our employees as our priority, we provide diverse career opportunities designed to propel, develop, and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work. We place an emphasis on empowering our employees by fostering an inclusive environment built upon integrity and corporate responsibility.

If this sounds like a culture you connect with, you’re invited to apply for this role. Or, if you are unsure whether your experience aligns with the requirements of this position, we encourage you to search on Lockheed Martin Jobs, and apply for roles that align with your qualifications.

Co-op/Summer Intern

AERONAUTICS COMPANY

Housing Stipend

Manufacturing

Part-Time

First
Show more",https://www.linkedin.com/jobs/view/operations-engineer-intern-at-lockheed-martin-3703111868?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=URFrL7a%2BbqPlRrM4E67HHA%3D%3D&position=15&pageNum=14&trk=public_jobs_jserp-result_search-card,25,"Industries
Defense and Space Manufacturing",0
361,Penn State University,Nittany AI Advance Internship - PSU Undergrad - Multiple Opportunities,"University Park, PA",Be an early applicant,"APPLICATION INSTRUCTIONS:

CURRENT PENN STATE EMPLOYEE (faculty, staff, technical service, or student), please login to Workday to complete the internal application process. Please do not apply here, apply internally through Workday.


The Nittany AI Alliance at The Pennsylvania State University (PSU) is looking for talented and driven PSU undergraduate students to join its Advance program as a Data Scientist, Front-end Developer, and Back-end Developer. Advance interns will work on AI-related projects in an Agile software development team, collaborating with data scientists, software developers, a scrum master, and product owners, gaining hands-on experience that enhances their learning and marketability. Selected candidates will assist with the creation of prototypes leveraging artificial intelligence and drive the design of related cognitive modules.

Specifically, the will research state-of-the-art algorithms in machine learning to identify viable project approaches, design prototypes that connect data sources to a concrete use case and develop code to test the efficacy and efficiency of algorithms against real-world data. The will build upon wireframes and concepts created by a UX Designer leveraging technologies such as HTML, CSS, and JavaScript. They will produce, modify, and maintain web application user interfaces. They will work with Data Scientists in back-end design, collaborating on APIs, data structure, and data integration. They will maintain software workflow, versioning, and testing during development and address any bugs. They will document all code according to common development best practices and create technical documentation of project work to facilitate knowledge sharing. The will research state-of-the-art algorithms in machine learning to identify viable project approaches, design prototypes that connect data sources to a concrete use case and develop code to build and improve upon a prototype optical character recognition and natural language processing solution.


Python, TensorFlow, Infer.net or Caffe is required. Proficiency in relevant mathematics, such as linear algebra and multivariate calculus. Skilled in JavaScript or R. Knowledge of data structures and data management methods. Ability to communicate technical topics effectively to nontechnical audiences, and ability to interpret and apply technical papers and articles in research journals is beneficial. Experience with cloud computing and storage services, especially Amazon Web Services (AWS) and experience with containerization technologies such as Docker or Kubernetes is a plus.


HTML5 and CSS is required. Proficiency in Modern JavaScript and related frameworks, Python, responsive design and CSS frameworks like Bootstrap. Experience with a code versioning tool such as GitHub, cloud computing and storage services, especially Amazon Web Services (AWS), containerization technologies such as Docker or Kubernetes and previous experience in Agile teams or collaborating with UI/UX designers and data scientists is a plus.

:

Python and one or more of the following AI modeling: Natural Language Processing (NLP), Machine Learning (ML), Computer Vision (CV) concepts is required. Experience with spaCy NLP library desirable. Proficiency in Java and/or Vue framework, knowledge of data structures and data management methods, and the ability to communicate technical topics effectively to nontechnical audiences is beneficial. Experience with cloud computing and storage services, especially Amazon Web Services (AWS), is a plus.

Interviews are conducted in March for the Fall semester and October for the Spring semester. Strong consideration will be given to candidates who can present a successful project in their domain. This is a part-time position for current Penn State undergraduate students only with the ability to work 15-20 hours per week at $15.00 per hour. Possibility for the internship to extend into the following semester based on Nittany AI Alliance workload and availability of the candidate.

The Pennsylvania State University is committed to and accountable for advancing diversity, equity, inclusion, and sustainability in all of its forms. We embrace individual uniqueness, foster a culture of inclusion that supports both broad and specific diversity initiatives, leverage the educational and institutional benefits of diversity in society and nature, and engage all individuals to help them thrive. We value inclusion as a core strength and an essential element of our public service mission.


Pursuant to the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act and the Pennsylvania Act of 1988, Penn State publishes a combined Annual Security and Annual Fire Safety Report (ASR). The ASR includes crime statistics and institutional policies concerning campus security, such as those concerning alcohol and drug use, crime prevention, the reporting of crimes, sexual assault, and other matters. The ASR is available for review here.

Employment with the University will require successful completion of background check(s) in accordance with University policies.


Penn State is an equal opportunity, affirmative action employer, and is committed to providing employment opportunities to all qualified applicants without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability or protected veteran status. If you are unable to use our online application process due to an impairment or disability, please contact 814-865-1473.

Federal Contractors Labor Law Poster

PA State Labor Law Poster

Affirmative Action

Penn State Policies

Copyright Information

Hotlines

University Park, PA
Show more",https://www.linkedin.com/jobs/view/nittany-ai-advance-internship-psu-undergrad-multiple-opportunities-at-penn-state-university-3677885441?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=pfCA%2BRdbBy%2F3DSG7VNDVdw%3D%3D&position=16&pageNum=14&trk=public_jobs_jserp-result_search-card,25,"Industries
Higher Education",15
362,Bosch USA,Computational Material Science Intern,"Cambridge, MA",6 months ago,INVALID LINK,https://www.linkedin.com/jobs/view/computational-material-science-intern-at-bosch-usa-3581295299?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=2aBJxDsh1yiFuDPIuEYqrQ%3D%3D&position=17&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
363,NinjaTrader,Software Engineering Intern,"Chicago, IL",3 weeks ago,INVALID LINK,https://www.linkedin.com/jobs/view/software-engineering-intern-at-ninjatrader-3716702886?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=GdX0JaJDVFVX44X2j0N2PA%3D%3D&position=18&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
364,First Media US,Internship: R&D / Content Creation & Management,"Los Angeles, CA",Actively Hiring,INVALID LINK,https://www.linkedin.com/jobs/view/internship-r-d-content-creation-management-at-first-media-us-3732435670?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=LM%2FXDNiZJt2tsPxkznbTig%3D%3D&position=19&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
365,Elevance Health,"Data Analyst Internship - Summer 2024, Graduate","Atlanta, GA",Be an early applicant,"Description

A Data Analyst Intern will be responsible for supporting the company’s Carelon Digital Platforms team. During the program our Interns will receive an orientation to the company and engage in challenging projects evolving around the rapidly changing healthcare tech industry. Interns are paired with industry professionals and mentors and will be given opportunities to stretch their skills and enrich their knowledge base to achieve a greater understanding within technology.






Students will be assigned to a specific group within the Carelon Digital Platforms organization based on skill set and need of the business. Graduate students should have experience and education in:


Please be advised that Elevance Health only accepts resumes from agencies that have a signed agreement with Elevance Health. Accordingly, Elevance Health is not obligated to pay referral fees to any agency that is not a party to an agreement with Elevance Health. Thus, any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of Elevance Health.


Elevance Health is a health company dedicated to improving lives and communities – and making healthcare simpler. A Fortune 20 company with a longstanding history in the healthcare industry, we are looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve. You will thrive in a complex and collaborative environment where you take action and ownership to solve problems and lead change. Do you want to be part of a larger purpose and an evolving, high-performance culture that empowers you to make an impact?

We offer a range of market-competitive total rewards that include merit increases, paid holidays, Paid Time Off, and incentive bonus programs (unless covered by a collective bargaining agreement), medical, dental, vision, short and long term disability benefits, 401(k) +match, stock purchase plan, life insurance, wellness programs and financial education resources, to name a few.

Elevance Health operates in a Hybrid Workforce Strategy, providing various levels of flexibility while also ensuring that associates have opportunities to connect in-person. Unless in a designated virtual-eligible role and specified as primarily virtual by the hiring manager, associates are required to work at an Elevance Health location at least once per week, and potentially several times per week. Specific requirements and expectations for time onsite will be discussed as part of the hiring process. Candidates must reside within 50 miles or 1-hour commute each way of a relevant Elevance Health location.

The health of our associates and communities is a top priority for Elevance Health. We require all new candidates in certain patient/member-facing roles to become vaccinated against COVID-19. If you are not vaccinated, your offer will be rescinded unless you provide – and Elevance Health approves – a valid religious or medical explanation as to why you are not able to get vaccinated that Elevance Health is able to reasonably accommodate. Elevance Health will also follow all relevant federal, state and local laws.

Elevance Health has been named as a Fortune Great Place To Work in 2022, has been ranked for five years running as one of the 2023 World’s Most Admired Companies by Fortune magazine, and is a growing Top 20 Fortune 500 Company. To learn more about our company and apply, please visit us at careers.ElevanceHealth.com. Elevance Health is an Equal Employment Opportunity employer and all qualified applicants will receive consideration for employment without regard to age, citizenship status, color, creed, disability, ethnicity, genetic information, gender (including gender identity and gender expression), marital status, national origin, race, religion, sex, sexual orientation, veteran status or any other status or condition protected by applicable federal, state, or local laws. Applicants who require accommodation to participate in the job application process may contact ability@icareerhelp.com for assistance.
Show more",https://www.linkedin.com/jobs/view/data-analyst-internship-summer-2024-graduate-at-elevance-health-3727231732?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=Hb%2FoeyinSnPzDbeF87Ztkw%3D%3D&position=20&pageNum=14&trk=public_jobs_jserp-result_search-card,25,"Industries
Hospitals and Health Care",0
366,First International Bank & Trust,Marketing Data Analyst Internship,"Minot, ND",1 month ago,"This internship is located in Bismarck, North Dakota. Not a remote opportunity. Fall Intern with the possibility of extension. ***

We have an amazing Internship opportunity on our Marketing team. If you are in college, enjoy Marketing and analytics, this will be a great opportunity to consider. Our Marketing Data Analyst Intern will get to take a deep dive in Google applications, such as Google Analytics, and assist with reports with the intent to guide marketing strategies. You would work directly with our Sr. Marketing Data Analyst.




First International Bank and Trust is a family-owned full-service Community Bank with locations in ND, MN, SD, and AZ.

We show our employees we care by providing competitive benefits and training and growth opportunities.

If you are interested in learning more, you can apply or if you have questions before applying you can reach out directly at TalentAcquistion@FIBT.com .

Show more",https://www.linkedin.com/jobs/view/marketing-data-analyst-internship-at-first-international-bank-trust-3704983195?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=qZlJcfvrTVN%2Btty%2BNslW3g%3D%3D&position=21&pageNum=14&trk=public_jobs_jserp-result_search-card,134,"Industries
Banking",0
367,CDP,Business Intelligence & Analytics CoOp - Remote,"Boston, MA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/business-intelligence-analytics-coop-remote-at-cdp-3732332286?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=t8Lvb8WHGDPYUe66QxR0eg%3D%3D&position=22&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
368,BioSpace,Graduate Intern - Real World Evidence,"Foster City, CA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/graduate-intern-real-world-evidence-at-biospace-3734444307?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=4kVEl%2FphDncDn7t5h4sQjA%3D%3D&position=23&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
369,Elevance Health,"Data Analyst Internship - Summer 2024, Graduate","Indianapolis, IN",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/data-analyst-internship-summer-2024-graduate-at-elevance-health-3727236075?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=jPvHxlALBaVH%2BpbqH5sq9Q%3D%3D&position=24&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
370,BioSpace,Intern - Global Clinical Data Standards,"Foster City, CA",Be an early applicant,INVALID LINK,https://www.linkedin.com/jobs/view/intern-global-clinical-data-standards-at-biospace-3730766545?refId=gBoF7Fbx3Ogwnp6jzAnv0g%3D%3D&trackingId=2iB2oDAfhaw9E%2B2kmTjmSQ%3D%3D&position=25&pageNum=14&trk=public_jobs_jserp-result_search-card,,,0
371,ABCO Facility Maintenance,Remote Technical Assistant (Paid College Internship),"Nashville, TN",1 week ago,"Remote Technical Assistant (Paid College Internship)

EOE StatementWe are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status or any other characteristic protected by law.

CategoryInformation Technology



Remote Technical Assistant - REMOTE OPPORTUNITY - pay $20 to $30 p/h

ABCO Facility Maintenance Inc. is a 24/7 commercia/ facility maintenance company that has been providing quality service to the tri-state (NY/NJ/PA) area for over 40 years.

We are actively recruiting a paid college intern to provide varying levels of support to our employee population.





Position Requirements

Full-Time/Part-TimeFull-Time

PositionIT SUPPORT PROFESSIONAL

Number of Openings1

Open Date9/29/2023

LocationTennessee



This position is currently accepting applications.
Show more",https://www.linkedin.com/jobs/view/remote-technical-assistant-paid-college-internship-at-abco-facility-maintenance-3730216683?refId=ffkblTDY6GI%2BDjLpsObMSg%3D%3D&trackingId=QVTDp8lmvH4yiTv5qT39sg%3D%3D&position=1&pageNum=15&trk=public_jobs_jserp-result_search-card,25,"Industries
Facilities Services",20
